Instructions,Responses
O que deve ser considerado ao elaborar o Plano de Ensino?,"Ao elaborar o Plano de Ensino, deve-se considerar a identificação da disciplina, a carga horária total, a distribuição entre teórica e prática, e os pré-requisitos."
Quais são os direitos e deveres dos discentes na UFAM?,"Os direitos e deveres dos discentes estão previstos no Art. 105 do Regimento Geral da UFAM, que estabelece normas para a convivência e responsabilidade acadêmica."
Qual é o papel do Coordenador de Curso em relação às justificativas de ausência?,"O Coordenador de Curso é responsável por receber e analisar os requerimentos de justificativa de ausência dos discentes, comunicando a decisão ao professor responsável pela disciplina."
Como é contabilizada a Média Final para os discentes dispensados da prova final?,"Para os discentes dispensados da prova final, a Média Final será consignada como a Média dos Exercícios Escolares (MEE), desde que cumpridos os requisitos estabelecidos."
Qual é a importância do Art. 207 da Constituição Federal para a UFAM?,"O Art. 207 da Constituição Federal garante às universidades autonomia didático-científica, administrativa e de gestão financeira e patrimonial, o que fundamenta a estrutura e funcionamento da UFAM."
Qual é o limite máximo de créditos optativos que um aluno pode cursar na Universidade Federal do Amazonas?,O limite máximo de créditos optativos que um aluno de graduação pode cursar é de 25% do total de créditos exigidos para a integralização de seu curso de origem.
O que acontece se o limite mínimo de créditos optativos de um curso for superior a 25%?,"Nos cursos em que o limite mínimo de créditos optativos é fixado acima de 25%, o limite máximo de créditos optativos será o próprio limite mínimo estabelecido para aquele curso."
Qual a data em que a resolução sobre créditos optativos entrou em vigor?,A resolução sobre créditos optativos entrou em vigor em 7 de dezembro de 1993.
Quem deliberou sobre as normas para os créditos optativos na Universidade do Amazonas?,A deliberação sobre as normas para os créditos optativos foi realizada pelo fórum de Coordenadores de Colegiados de Curso em 19 de maio de 1993.
Quais normas regulam a matrícula em disciplinas optativas na Universidade do Amazonas?,"As normas vigentes regulam a matrícula em disciplinas optativas, indicando apenas o número mínimo de créditos necessários para a integralização de cada curso."
O que a resolução N° 018/93 visa aperfeiçoar?,"A resolução N° 018/93 visa aperfeiçoar o sistema de matrícula em disciplinas optativas, definindo também o limite máximo de créditos cursados como optativos."
"Qual é a função do artigo 44, inciso IV, do Regimento Geral da Universidade do Amazonas nessa resolução?","O artigo 44, inciso IV, do Regimento Geral da Universidade do Amazonas fundamenta a decisão sobre a fixação do limite máximo de créditos optativos na resolução."
A resolução revoga alguma disposição anterior?,"Sim, a resolução revoga as disposições em contrário que estavam em vigor antes da sua publicação."
Quem assinou a resolução N° 018/93?,A resolução N° 018/93 foi assinada pelo Pró-Reitor de Administração da Universidade do Amazonas.
Como a resolução afeta os alunos de graduação?,"A resolução estabelece limites para os créditos optativos que os alunos de graduação podem cursar, influenciando sua escolha de disciplinas e a integralização do curso."
Qual a importância de definir um limite máximo para créditos optativos?,Definir um limite máximo para créditos optativos é importante para garantir que os alunos sigam um currículo que assegure a formação adequada e a integralização do curso.
O que é considerado na definição dos limites de créditos optativos?,"Na definição dos limites de créditos optativos, considera-se tanto o número mínimo de créditos exigidos para a integralização do curso quanto a estrutura curricular específica de cada curso."
É possível que um curso tenha um limite mínimo de créditos optativos de 30%?,"Sim, se um curso tiver um limite mínimo de créditos optativos fixado em 30%, então esse será o limite máximo que os alunos poderão cursar, em vez dos 25% gerais."
Qual a data da reunião do colegiado que levou à resolução sobre créditos optativos?,A reunião do colegiado que deliberou sobre a resolução ocorreu em 19 de maio de 1993.
Os alunos devem ser informados sobre a resolução de créditos optativos?,"Sim, é fundamental que os alunos sejam informados sobre a resolução para que possam planejar suas disciplinas de acordo com os limites estabelecidos."
Como a resolução N° 018/93 foi recebida pela comunidade acadêmica?,"A resolução foi resultado de deliberações e discussões entre os coordenadores de cursos, o que indica uma busca por melhorias no sistema acadêmico."
A resolução N° 018/93 é específica para quais tipos de cursos?,A resolução N° 018/93 é específica para alunos de graduação da Universidade do Amazonas.
O que significa a expressão 'integralização de curso'?,A 'integralização de curso' refere-se ao cumprimento de todas as exigências curriculares necessárias para a obtenção do diploma de graduação.
Os créditos optativos têm algum impacto no tempo de conclusão do curso?,"Sim, a escolha de créditos optativos pode impactar o tempo de conclusão do curso, dependendo da carga horária e da organização das disciplinas escolhidas."
O que regulamenta a Resolução nº 010-CEG/CONSEPE da UFAM?,A Resolução nº 010-CEG/CONSEPE regulamenta as normas para inclusão de disciplinas semipresenciais em cursos de graduação presencial da Universidade Federal do Amazonas.
Quando a Resolução nº 010-CEG/CONSEPE entrou em vigor?,"A Resolução nº 010-CEG/CONSEPE entrou em vigor a partir da sua data de aprovação, em 01 de abril de 2016, aplicando-se aos alunos a partir do semestre letivo 2016/1."
Quais tipos de disciplinas semipresenciais podem ser oferecidas?,Podem ser oferecidas: a) uma nova disciplina criada exclusivamente na modalidade semipresencial; b) uma versão semipresencial de uma disciplina presencial já existente; c) uma versão semipresencial em substituição à disciplina presencial já existente.
O que caracteriza uma disciplina semipresencial?,"A disciplina semipresencial é caracterizada por sua organização didática em módulos centrados na autoaprendizagem, com mediação de recursos didáticos em diferentes suportes de informação utilizando tecnologias de comunicação remota, complementados com encontros presenciais."
Qual é o limite de carga horária para disciplinas semipresenciais em relação ao curso?,"As disciplinas semipresenciais poderão ser ofertadas, integral ou parcialmente, desde que essa oferta não ultrapasse 20% da carga horária total do respectivo curso."
Quantas horas de encontro presencial são necessárias para cada crédito teórico em disciplinas semipresenciais?,"Para cada crédito teórico, correspondente a 15 horas, deverá ocorrer um encontro presencial de, no mínimo, 2 horas, cuja previsão deve estar contida no Plano de Ensino."
Os créditos práticos podem ser oferecidos na modalidade semipresencial?,"Não, os créditos práticos não podem ser oferecidos na modalidade semipresencial."
Quais são os objetivos da inclusão de disciplinas semipresenciais?,"Os objetivos incluem: desenvolver uma cultura institucional quanto ao uso das TIC, oportunizar maior flexibilização no processo de aprendizagem dos discentes, e possibilitar ao corpo docente a adoção de práticas pedagógicas diferenciadas."
O que é necessário para que um professor ministre disciplinas semipresenciais?,"O professor deve possuir capacitação específica para a docência na Educação a Distância (EaD) e para o Ambiente Virtual de Aprendizagem (AVA), obtida em curso reconhecido ou credenciado pelo Ministério da Educação."
Quem solicita a atualização dos Projetos Político-Pedagógicos para inclusão de disciplinas semipresenciais?,Compete ao coordenador do curso solicitar a atualização dos Projetos Político-Pedagógicos.
Como devem ser organizadas as disciplinas semipresenciais?,As disciplinas devem ser organizadas incluindo métodos e práticas de autoaprendizagem e o uso integrado de Tecnologias da Informação e Comunicação (TIC) por meio de Ambiente Virtual de Aprendizagem (AVA).
Como é feita a avaliação do rendimento acadêmico dos estudantes em disciplinas semipresenciais?,"Os instrumentos de avaliação devem seguir o estabelecido no plano de ensino e as recomendações do Projeto Pedagógico do Curso, incluindo uma prova final presencial obrigatória."
Quem é responsável pela inclusão de disciplinas semipresenciais na organização curricular?,"Caberá ao Núcleo Docente Estruturante de cada curso de graduação a iniciativa de inclusão da disciplina semipresencial, com a aprovação do Colegiado do Curso e da Câmara de Ensino de Graduação."
Qual é o limite de aproveitamento de disciplinas semipresenciais no histórico escolar de cada estudante?,O aproveitamento de disciplinas semipresenciais não poderá ultrapassar o limite de 20% da carga horária total exigida para a integralização curricular do curso.
Como as disciplinas semipresenciais devem ser avaliadas?,"A avaliação das disciplinas semipresenciais deve ser realizada pelo Núcleo Docente Estruturante e pelo Colegiado do Curso com apoio do CED, utilizando metodologia própria e considerando sua especificidade."
Quais são os casos omissos na resolução?,Os casos omissos deverão ser submetidos à PROEG para as providências necessárias.
O que a UFAM assegurará para a execução das atividades das disciplinas semipresenciais?,A UFAM assegurará as condições de utilização das ferramentas pelos docentes e discentes na execução das atividades.
Qual é a importância das disciplinas semipresenciais para a redução da evasão?,As disciplinas semipresenciais visam mitigar a evasão nos cursos presenciais ao proporcionar mais flexibilidade curricular e práticas pedagógicas adaptadas.
Qual a abordagem pedagógica das disciplinas semipresenciais na UFAM?,"As disciplinas semipresenciais devem adotar uma abordagem pedagógica centrada na autoaprendizagem, utilizando tecnologias de comunicação remota e encontros presenciais para complementar o aprendizado."
O que é o Programa de Educação Tutorial (PET)?,"O Programa de Educação Tutorial (PET) é um programa de educação desenvolvido em grupos organizados a partir de cursos de graduação nas instituições de ensino superior do Brasil, orientado pelo princípio da indissociabilidade entre ensino, pesquisa e extensão."
Quais são os objetivos do PET?,"Os objetivos do PET incluem: desenvolver atividades acadêmicas de qualidade, contribuir para a formação acadêmica dos alunos, estimular a formação de profissionais qualificados, formular novas estratégias para o ensino superior e promover o espírito crítico e a cidadania."
Como são criados os grupos PET?,Os grupos PET são criados conforme um processo de seleção definido em edital da Secretaria de Educação Superior (SESu) do Ministério da Educação.
Qual é a composição do Conselho Superior do PET?,"O Conselho Superior do PET é composto pelo Secretário de Educação Superior (presidente), Diretor do DEPEM, Coordenador do PET na SESu, um representante da Comissão de Avaliação, um representante dos alunos bolsistas, um representante dos professores tutores e um representante dos Pró-Reitores de Graduação."
Quais são as atribuições do Conselho Superior do PET?,"As atribuições incluem apreciar propostas para criação e extinção de grupos, formular propostas para o funcionamento e avaliação do PET, e opinar sobre assuntos que lhe sejam submetidos."
Quem pode ser tutor de um grupo PET?,"Um tutor de grupo PET deve ser professor do quadro permanente da instituição, ter título de doutor, não acumular outra bolsa, e comprovar atuação em cursos de graduação e atividades de pesquisa e extensão nos três anos anteriores."
Qual é o valor da bolsa de tutoria para o professor tutor?,"O professor tutor recebe uma bolsa mensal de R$ 1.267,00, e se for mestre, receberá R$ 855,00."
Quais são as atribuições dos alunos bolsistas do PET?,"As atribuições incluem zelar pela qualidade acadêmica do PET, participar de todas as atividades, manter bom rendimento no curso, e apresentar um trabalho acadêmico por ano."
Qual é o valor da bolsa que um aluno bolsista recebe?,"O aluno bolsista recebe mensalmente uma bolsa no valor de R$ 300,00."
Quais são os critérios para o desligamento de um aluno bolsista do grupo PET?,"Os critérios incluem conclusão ou trancamento do curso, desistência, rendimento acadêmico insuficiente, e descumprimento das obrigações junto à Coordenação do Curso."
O que acontece com os alunos não bolsistas no grupo PET?,Os alunos não bolsistas podem participar de até metade do número de bolsistas e estarão sujeitos aos mesmos requisitos de ingresso e permanência.
Como é feita a avaliação dos grupos PET?,"A avaliação é realizada bienalmente por uma Comissão de Avaliação, que considera indicadores como relatórios anuais, rendimento acadêmico, e participação em atividades de ensino, pesquisa e extensão."
Qual é o número mínimo e máximo de bolsistas por grupo PET?,Um grupo PET deve ter no mínimo quatro bolsistas e pode expandir até um máximo de doze bolsistas.
O que é necessário para a expansão de um grupo PET?,"A expansão deve ser justificada pelo professor tutor, aprovada pelo Comitê Local de Acompanhamento e condicionada a uma avaliação positiva do grupo."
Quais são os requisitos para um aluno se tornar um bolsista do PET?,"Os requisitos incluem estar matriculado em um curso de graduação, não ser bolsista de outro programa, ter um coeficiente de rendimento escolar igual ou maior a 6,0, e disponibilidade para dedicar vinte horas semanais às atividades do programa."
Quem é responsável pela execução e implementação do PET?,A implementação e execução do PET são coordenadas pela Secretaria de Educação Superior (SESu) do Ministério da Educação.
Como são utilizados os recursos destinados ao PET?,"Os recursos são repassados às instituições para o pagamento das bolsas e custeio das atividades dos grupos, com prestação de contas das instituições."
Qual é a duração da bolsa de tutoria no PET?,"A bolsa de tutoria tem uma duração inicial de três anos, podendo ser renovável por igual período, conforme parecer da Comissão de Avaliação."
Qual é a importância da avaliação dos grupos PET?,"A avaliação visa promover a qualidade das ações do programa, identificar potencialidades e limitações, e sugerir ações de aprimoramento."
O que acontece se um grupo PET não tiver um desempenho satisfatório na avaliação?,"Um grupo PET pode ser extinto com base nos resultados de sua avaliação, e sua extinção não permite a reposição automática por parte da instituição."
Qual é o objetivo principal do Programa de Monitoria da Universidade Federal do Amazonas?,O Programa de Monitoria tem como objetivo iniciar e estimular a participação de alunos de graduação nas diversas atividades docentes de nível superior.
O Programa de Monitoria gera vínculo empregatício com a UFAM?,"Não, as atividades do Programa de Monitoria não geram vínculo empregatício com a instituição."
Quais são as modalidades disponíveis no Programa de Monitoria?,"O Programa de Monitoria abrange duas modalidades: bolsista e não bolsista, ambas sujeitas às normas estabelecidas na Resolução."
Como é determinado o valor da bolsa mensal para monitores?,O valor da bolsa mensal será estabelecido de acordo com a disponibilidade orçamentária e financeira da UFAM.
É permitido acumular a bolsa de monitoria com outras modalidades de bolsa na UFAM?,"Não, é vedada a acumulação de bolsa de monitoria com qualquer outra modalidade de bolsa da UFAM, como PIBIC, extensão, bolsa trabalho, entre outras."
Quem pode exercer a função de monitor?,A função de monitor pode ser exercida por alunos regularmente matriculados em cursos de graduação que sejam classificados em processo seletivo organizado pelo setor ao qual a disciplina está vinculada.
Qual é a carga horária semanal que um monitor deve cumprir?,"O monitor deve cumprir 12 horas semanais de atividades presenciais, tanto para monitores bolsistas quanto para não bolsistas."
Quantas turmas de uma mesma disciplina um aluno pode monitorar por período letivo?,Um aluno pode assumir a monitoria de até duas turmas da mesma disciplina por período letivo.
Quantos períodos letivos um aluno pode atuar como monitor em uma mesma disciplina?,"Um aluno pode exercer a monitoria por no máximo quatro períodos letivos, consecutivos ou não, em uma mesma disciplina ou em disciplinas diferentes."
Quais são as atribuições do monitor?,"As atribuições do monitor incluem: apoiar o professor orientador, participar de atividades que aprofundem a disciplina, manter atualizado o Cadastro Individual de Monitor, cumprir o Plano Semestral de Atividades da Disciplina, e elaborar o Relatório Semestral de Atividades de Monitoria."
Quem é responsável pela coordenação do Programa de Monitoria?,"A coordenação do Programa de Monitoria fica a cargo da Comissão de Monitoria, designada pela Pró-Reitoria de Ensino de Graduação (PROEG)."
Qual é o prazo para os Setores procederem a ajustes relativos ao processo de seleção e recondução de monitores?,"Os Setores têm o prazo de sete dias úteis, contados a partir do início das atividades, para procederem a ajustes relacionados ao processo."
Quais documentos devem ser anexados ao Cadastro Individual de Monitor?,"Devem ser anexados ao Cadastro Individual de Monitor a confirmação de matrícula, o histórico escolar atualizado e outros documentos solicitados pelo Setor."
Quais são as responsabilidades do professor orientador?,"As responsabilidades do professor orientador incluem: elaborar o Plano Semestral de Atividades da Disciplina, selecionar os monitores, orientar as atividades do monitor e avaliar seu desempenho."
O que deve conter o edital de seleção de monitores?,"O edital deve conter as disciplinas objeto da seleção, requisitos estabelecidos, critérios para casos de empate, datas e locais de realização da seleção, e outros esclarecimentos necessários."
Quais os critérios necessários para se inscrever no processo seletivo de monitoria?,"Os critérios incluem: ter cursado com aproveitamento pelo menos dois períodos letivos, ter cursado a disciplina com média igual ou superior a 7,0, ter coeficiente de rendimento igual ou superior a 5,0, estar cursando no mínimo três disciplinas, e ter disponibilidade de 12 horas semanais."
Qual é a frequência mínima exigida dos monitores para a expedição do certificado?,"Os monitores devem manter uma frequência mínima de 75%, ou 144 horas, por período letivo para a expedição do certificado."
O que acontece se um Setor não obedecer às normas do Programa de Monitoria?,Um Setor que não obedecer às normas será considerado inadimplente e não poderá receber vagas de bolsistas.
Quais são as atribuições da PROEG em relação ao Programa de Monitoria?,"A PROEG é responsável por definir a composição da Comissão de Monitoria, administrar a verba, definir datas e prazos, informar sobre a distribuição de vagas, organizar o arquivo geral do Programa, e orientar sobre questões relativas ao Programa."
Qual é o objetivo da Portaria nº 1.095 de 25 de outubro de 2018?,"A Portaria nº 1.095 dispõe sobre a expedição e o registro de diplomas de cursos superiores de graduação no âmbito do sistema federal de ensino, estabelecendo normas e procedimentos a serem seguidos pelas Instituições de Educação Superior (IES)."
Quem deve seguir os procedimentos estabelecidos na Portaria?,As Instituições de Educação Superior (IES) vinculadas ao sistema federal de ensino devem adotar os procedimentos previstos na Portaria para a expedição e registro de diplomas.
Qual é a validade dos diplomas expedidos e registrados?,"Os diplomas de cursos superiores reconhecidos, quando registrados, terão validade nacional como prova da formação recebida por seu titular."
Como é feito o registro dos diplomas expedidos?,"Os diplomas expedidos pelas universidades são registrados por elas próprias, enquanto aqueles conferidos por instituições não universitárias são registrados por universidades credenciadas."
As faculdades têm autonomia para registrar seus próprios diplomas?,"Sim, as faculdades vinculadas ao sistema federal de ensino podem receber a atribuição de registrar seus próprios diplomas de graduação, conforme seu ato de recredenciamento."
Quais documentos são necessários para o registro do diploma?,"O processo de registro de diploma deve incluir documentos como ofício de encaminhamento, termos de responsabilidade, cópia de documentos de identidade do aluno e histórico escolar, entre outros."
Qual é o prazo para a expedição do diploma após a colação de grau?,As IES devem expedir os diplomas no prazo máximo de sessenta dias contados da data de colação de grau.
E qual é o prazo para o registro do diploma após a expedição?,O diploma deve ser registrado no prazo máximo de sessenta dias contados da data de sua expedição.
O que deve ser feito se a IES não cumprir os prazos estabelecidos?,O descumprimento dos prazos será considerado irregularidade administrativa e poderá ser apurado por meio de processo administrativo de supervisão.
É permitido cobrar taxas pela expedição e registro dos diplomas?,"Não, a expedição e o registro do diploma, do histórico escolar final e do certificado de conclusão de curso são considerados serviços educacionais e não podem ser cobrados, exceto em casos de apresentação decorativa."
Os diplomas de graduação obtidos no exterior podem ser revalidados?,"Sim, os diplomas de graduação obtidos no exterior podem ser revalidados por universidades públicas brasileiras que tenham curso reconhecido do mesmo nível e área."
Quais informações devem constar do registro do diploma?,"O registro do diploma deve incluir informações como nome completo do diplomado, data de nascimento, nome do curso, data de conclusão, data de colação de grau, entre outras."
O que acontece se os atos de expedição e registro forem considerados inidôneos?,As IES públicas e privadas devem tornar nulos os atos de expedição e registro de diplomas que sejam inidôneos ou eivados de vícios de legalidade.
Os centros universitários podem registrar diplomas de cursos de outras instituições?,"Não, os centros universitários somente poderão registrar diplomas dos cursos que eles próprios oferecem."
Qual é a responsabilidade das IES em relação à guarda dos registros de diplomas?,"As IES devem manter livros de anotações de expedição e registro de diplomas, sendo a guarda de responsabilidade do representante legal da mantenedora."
As IES estão obrigadas a manter um banco de dados de registro de diplomas?,"Sim, as IES devem manter um banco de informações de registro de diplomas disponível em seu sítio eletrônico."
Quais são as consequências para IES que não cumprirem as normas da Portaria?,O descumprimento das normas pode resultar em irregularidade administrativa e poderá ser apurado por meio de processo administrativo de supervisão.
Os diplomas de cursos com processos de reconhecimento protocolados fora do prazo são válidos?,"Não, os diplomas expedidos ou registrados de cursos cujos processos de reconhecimento foram protocolados fora do prazo serão considerados irregulares e não terão validade nacional."
Qual é a data de publicação da Portaria nº 1.095?,A Portaria nº 1.095 foi publicada no Diário Oficial da União em 26 de outubro de 2018.
O que é o Processo Seletivo Extramacro (PSE)?,"O Processo Seletivo Extramacro (PSE) é o procedimento pelo qual a Universidade Federal do Amazonas oferece vagas ociosas em seus cursos de graduação. Ele abrange várias modalidades de ingresso, incluindo Transferência Facultativa Externa, Portador de Diploma de Curso Superior, Reopção de Curso e Transferência Facultativa Interna."
Quais modalidades estão incluídas no PSE?,"As modalidades incluídas no PSE são: 1) Transferência Facultativa Externa (TFE), que permite a admissão de alunos de outras Instituições de Ensino Superior; 2) Portador de Diploma de Curso Superior (PD), destinado a egressos de cursos superiores que desejam ingressar em outro curso na mesma área de conhecimento; 3) Reopção de Curso (RC), que é a movimentação de alunos dentro da mesma área de conhecimento; e 4) Transferência Facultativa Interna (TFI), que permite a movimentação entre campi da mesma universidade."
Como são definidas as vagas ociosas para o PSE?,"As vagas ociosas são definidas pelo Departamento de Registro Acadêmico (DRA) da Pró-Reitoria de Ensino de Graduação, que realiza um levantamento até o final do primeiro semestre letivo de cada ano. Essas vagas podem resultar de desistências, jubilamentos, óbitos, transferências ou exclusões disciplinares."
Qual é a documentação necessária para a inscrição como Portador de Diploma de Curso Superior?,"Para a inscrição na modalidade de Portador de Diploma de Curso Superior, o candidato deve apresentar: 1) Diploma ou certificado de conclusão de curso superior autorizado ou reconhecido, na mesma área do curso pretendido; 2) Histórico escolar do curso concluído."
Quais são os requisitos para a matrícula institucional?,"Na matrícula institucional, os candidatos devem apresentar: 1) Documento de identificação oficial com foto; 2) CPF; 3) Uma foto 3x4 recente; além de documentos específicos conforme a modalidade de inscrição, como históricos escolares e diplomas."
O que deve ser feito se o candidato não apresentar a documentação exigida na matrícula?,"Se o candidato não apresentar a documentação exigida, ele perderá irrevogavelmente o direito à vaga para a qual foi aprovado e obteve classificação."
Qual é a única fase do Processo Seletivo?,"A única fase do Processo Seletivo é a aplicação de uma prova de conhecimento, que é de natureza eliminatória e classificatória."
Quais são as vedações para as modalidades de transferência?,As vedações incluem: 1) Candidaturas oriundas de curso sequencial e de curso de oferta não regular; 2) Quando o curso de origem não tiver sido autorizado pelo MEC.
Como é feita a escolha do curso e modalidade durante a inscrição?,"No ato da inscrição, o candidato deve indicar o curso e a modalidade que deseja. Após essa fase, não será aceita qualquer alteração."
Como é o processo de aproveitamento de estudos?,"O pedido de aproveitamento de estudos será examinado conforme o Art. 70 do Regimento Geral da Universidade e a regulamentação vigente, que estabelece como os estudos realizados em outras instituições podem ser considerados na nova graduação."
Qual é a validade da documentação apresentada por alunos de instituições estrangeiras?,Os documentos de alunos provenientes de instituições de ensino superior estrangeiras serão aceitos apenas se estiverem de acordo com a legislação vigente e atenderem às exigências do edital específico.
O que deve ser feito caso um candidato deseje interpor recurso após a prova?,"O candidato deve interpor recurso à Comissão Permanente de Concursos, de acordo com as regras estabelecidas no edital."
Quando esta resolução entrou em vigor?,"Esta resolução entrou em vigor na data de sua aprovação pela Câmara de Ensino de Graduação, que ocorreu em 21 de outubro de 2014."
O que acontece com a Resolução CEG/CONSEPE nº 024 de 9 de maio de 2012?,A Resolução CEG/CONSEPE nº 024 de 9 de maio de 2012 foi revogada pela nova Resolução nº 47/2014.
Qual é o papel da Comissão Permanente de Concursos no PSE?,"A Comissão Permanente de Concursos é responsável pelo processamento das inscrições para o PSE, estabelecendo prazos e condições que serão publicadas em um edital específico."
Qual a importância do histórico escolar na inscrição por Portador de Diploma?,"O histórico escolar é importante porque comprova a conclusão do curso e a integralização dos créditos exigidos, assegurando que o candidato possui a formação necessária para ser admitido em um novo curso na mesma área."
Quantos créditos ou horas-aula são necessários para a matrícula?,"Os candidatos devem comprovar a integralização de, no mínimo, 24 créditos ou 360 horas-aula, dependendo da modalidade de inscrição."
Quais os tipos de documentos que precisam ser apresentados em cópia e original?,"Todos os documentos exigidos para a matrícula, como diplomas, históricos e documentos de identificação, devem ser apresentados em original e cópia ou cópia autenticada."
O que caracteriza um curso sequencial?,"Um curso sequencial é um conjunto de atividades de formação que complementa ou oferece formação específica, não sendo um curso de graduação regular, e normalmente é dividido em dois tipos: formação específica ou complementação de estudos."
Qual é o prazo para a retirada de documentos pessoais na Universidade Federal do Amazonas?,O prazo para a retirada de documentos pessoais é de 3 meses a partir da data de conclusão do processo.
O que acontece com os documentos que não forem retirados dentro do prazo?,"Após o prazo de 3 meses, os documentos particulares não resgatados devem ser disponibilizados para reciclagem."
Como o requerente deve provar que é o verdadeiro proprietário dos documentos?,O requerente deve provar que é o verdadeiro proprietário dos documentos apresentando um outro documento habilitado em original com fotografia para conferência na Pré-Reitoria.
O que deve ser feito ao receber os documentos?,"Ao receber os documentos, o requerente deverá subscrever um termo de desentranhamento para que fique consignada a devolução ao seu legítimo proprietário."
Para onde deve ser dirigido o requerimento de solicitação de documento?,O requerimento deve ser dirigido à Divisão de Orientação Acadêmica (DOA).
Quais informações são necessárias no requerimento de solicitação de documento?,"O requerimento deve conter a identificação pessoal, informações exatas e completas, e se possível, o número do protocolo de ingresso dos documentos na Pré-Reitoria."
A partir de quando começa a contar o prazo de 3 meses para retirada dos documentos?,O prazo de 3 meses começa a contar a partir da data de conclusão do processo.
É necessário apresentar algum documento para retirar os documentos pessoais?,"Sim, é necessário apresentar um documento habilitado em original com fotografia para comprovar a identidade do requerente."
Quem é o responsável por estabelecer as normas sobre prazos para retirada de documentos?,O responsável por estabelecer as normas é o Pró-Reitor de Ensino de Graduação da Universidade do Amazonas.
Os documentos a serem retirados são de interesse pessoal?,"Sim, a maioria dos documentos é de interesse pessoal e de uso exclusivo de seus titulares."
Como a universidade justifica a redução do armazenamento de documentos em papel?,A universidade justifica a redução do armazenamento como uma medida de economia interna que visa a racionalização do espaço físico e da própria burocracia.
Qual é a data da publicação da portaria que estabelece os prazos para retirada de documentos?,A portaria foi publicada em 3 de maio de 2002.
O que deve ser feito caso o requerente não consiga apresentar um documento com fotografia?,"O requerente deve apresentar um documento habilitado com fotografia, caso não consiga, pode não ser possível retirar os documentos."
Os documentos disponíveis para retirada são somente cópias?,"Os documentos disponíveis para retirada podem incluir cópias, atestados ou declarações de interesse do legítimo proprietário."
É permitido que outra pessoa retire os documentos em nome do proprietário?,"Não, o requerente deve provar ser o verdadeiro proprietário, portanto, a retirada deve ser feita pelo próprio titular."
O que é um termo de desentranhamento?,"Um termo de desentranhamento é um documento que deve ser subscrito pelo requerente ao receber os documentos, para registrar a devolução ao seu legítimo proprietário."
Qual a importância de informar o número do protocolo de ingresso dos documentos?,Informar o número do protocolo facilita a localização dos documentos na Pré-Reitoria.
Os documentos podem ser retirados em qualquer momento dentro do prazo de 3 meses?,"Sim, os documentos podem ser retirados em qualquer momento dentro do prazo de 3 meses estipulado."
Pode haver exceções ao prazo de 3 meses para a retirada de documentos?,Não há menção a exceções no texto da portaria; o prazo é fixo e deve ser respeitado.
Quem é o autor da portaria que estabelece os prazos para retirada de documentos?,"O autor da portaria é Bruce Patrick Osborne, o Pró-Reitor de Ensino de Graduação."
Quais são as modalidades de trancamento de matrícula na UFAM?,"As modalidades de trancamento de matrícula na UFAM são: 1) Trancamento total (de curso), que é o ato do aluno de não se matricular em nenhuma disciplina por até 2 semestres letivos; 2) Trancamento de disciplinas, que é o ato do aluno de não cursar uma ou mais disciplinas nas quais esteja matriculado."
Qual é o limite de tempo para o trancamento total de matrícula?,"O trancamento total de matrícula não pode exceder 2 semestres letivos, sejam eles consecutivos ou não."
Quantas disciplinas podem ser trancadas ao mesmo tempo?,"O trancamento de disciplinas pode abranger um número máximo correspondente aos primeiros períodos do respectivo curso, mas não pode exceder o limite de disciplinas permitido para o curso."
O que acontece com o tempo de trancamento em relação ao prazo de integralização do curso?,O período correspondente ao trancamento total de matrícula não será computado no prazo de integralização do curso.
Como o trancamento de matrícula afeta o coeficiente de rendimento do aluno?,O trancamento de matrícula não terá efeitos sobre o cálculo do coeficiente de rendimento do aluno.
Quais são as condições que impedem a concessão de trancamento de matrícula?,Não será concedido trancamento de matrícula quando: 1) O aluno já tiver sido beneficiado com trancamento total por dois semestres; 2) O trancamento proposto extrapolar o período máximo previsto na resolução; 3) O aluno já tiver sido beneficiado com o número máximo de disciplinas permitido; 4) O trancamento proposto extrapolar o número máximo de disciplinas; 5) O requerente não tiver vínculo acadêmico com o curso ou tiver sido acolhido por programa especial; 6) O pedido for solicitado no primeiro ano de qualquer curso de graduação.
Quando pode ser solicitado o trancamento total de matrícula?,"O trancamento total pode ser solicitado antes do início do primeiro ou do segundo semestre de matrícula, desde que o pedido anteceda ou coincida com o período de solicitação de matrícula em disciplinas estabelecido no calendário acadêmico."
Como são fixados os períodos para trancamento de matrícula?,"Os períodos para trancamento de matrícula são fixados semestralmente no calendário acadêmico aprovado pelo Conselho de Ensino, Pesquisa e Extensão."
Quais procedimentos operacionais devem ser seguidos para o trancamento de matrícula?,Os procedimentos operacionais de trancamento de matrícula estarão previstos em uma Instrução Normativa a ser editada pelo Pró-Reitor de Ensino de Graduação.
O que acontece se um aluno solicitar trancamento de matrícula em um curso no primeiro ano?,Não será concedido trancamento de matrícula se o pedido for solicitado no primeiro ano de qualquer curso de graduação.
O que é considerado trancamento total na UFAM?,Trancamento total é o ato do aluno de não se matricular em nenhuma disciplina por até 2 semestres letivos.
O que é considerado trancamento de disciplinas na UFAM?,Trancamento de disciplinas é o ato do aluno de formalizar seu propósito de não cursar uma ou mais disciplinas nas quais esteja matriculado.
O que acontece se um aluno já tiver usado o trancamento total por dois semestres?,"Se um aluno já tiver sido beneficiado com trancamento total por dois semestres, não será concedido novo trancamento total."
